Year,m,d,Time,Time zone,Precipitation amount (mm),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2021,10,1,00:00,UTC,0,99,0,0,5.5,-,-
2021,10,1,01:00,UTC,0,97,0,0,5.4,-,-
2021,10,1,02:00,UTC,0,95,0,0,5.2,-,-
2021,10,1,03:00,UTC,0,91,0,0,5.1,-,-
2021,10,1,04:00,UTC,0,91,0,0,4.8,-,-
2021,10,1,05:00,UTC,0,92,0,0,4.5,-,-
2021,10,1,06:00,UTC,0,89,0,0,4.6,-,-
2021,10,1,07:00,UTC,0,88,0,0,4.9,-,-
2021,10,1,08:00,UTC,0,79,0,0,6.1,-,-
2021,10,1,09:00,UTC,0,81,0,0,6.1,-,-
2021,10,1,10:00,UTC,0,79,0,0,6.7,-,-
2021,10,1,11:00,UTC,0,83,0,0,6.4,-,-
2021,10,1,12:00,UTC,0,84,0,0,6.8,-,-
2021,10,1,13:00,UTC,0,81,0,0,7.1,-,-
2021,10,1,14:00,UTC,0,80,0,0,7.3,-,-
2021,10,1,15:00,UTC,0,78,0,0,7.3,-,-
2021,10,1,16:00,UTC,0,79,0,0,7.2,-,-
2021,10,1,17:00,UTC,0,79,0,0,7.4,-,-
2021,10,1,18:00,UTC,0,81,0,0,7.2,-,-
2021,10,1,19:00,UTC,0,81,0,0,7.2,-,-
2021,10,1,20:00,UTC,0,83,0,0,7,-,-
2021,10,1,21:00,UTC,0,91,0,0,6.6,-,-
2021,10,1,22:00,UTC,0,91,0,0,6.6,-,-
2021,10,1,23:00,UTC,0,91,0,0,6.5,-,-
2021,10,2,00:00,UTC,0,91,0,0,6.8,-,-
2021,10,2,01:00,UTC,0,90,0,0,7,-,-
2021,10,2,02:00,UTC,0,90,0,0,7.1,-,-
2021,10,2,03:00,UTC,0,89,0,0,7.1,-,-
2021,10,2,04:00,UTC,0,90,0,0,7.2,-,-
2021,10,2,05:00,UTC,0,89,0,0,7.4,-,-
2021,10,2,06:00,UTC,0,89,0,0,7.7,-,-
2021,10,2,07:00,UTC,0,96,0,0,7.3,-,-
2021,10,2,08:00,UTC,0.1,98,0,0,7.3,-,-
2021,10,2,09:00,UTC,0.2,98,0.1,0,7.6,-,-
2021,10,2,10:00,UTC,0.1,98,0,0,8,-,-
2021,10,2,11:00,UTC,0,95,0,0,8.3,-,-
2021,10,2,12:00,UTC,0,91,0,0,8.9,-,-
2021,10,2,13:00,UTC,0,85,0,0,9.7,-,-
2021,10,2,14:00,UTC,0,80,0,0,10.2,-,-
2021,10,2,15:00,UTC,0,79,0,0,10.1,-,-
2021,10,2,16:00,UTC,0,81,0,0,9.7,-,-
2021,10,2,17:00,UTC,0,83,0,0,9.4,-,-
2021,10,2,18:00,UTC,0,80,0,0,9.5,-,-
2021,10,2,19:00,UTC,0,83,0,0,8.3,-,-
2021,10,2,20:00,UTC,0,85,0,0,7,-,-
2021,10,2,21:00,UTC,0,90,0,0,5.6,-,-
2021,10,2,22:00,UTC,0,92,0,0,4.8,-,-
2021,10,2,23:00,UTC,0,98,0,0,3.1,-,-
2021,10,3,00:00,UTC,0,98,0,0,3.6,-,-
2021,10,3,01:00,UTC,0,96,0,0,4.4,-,-
2021,10,3,02:00,UTC,0,96,0,0,4.9,-,-
2021,10,3,03:00,UTC,0,95,0,0,5.6,-,-
2021,10,3,04:00,UTC,0,95,0,0,6,-,-
2021,10,3,05:00,UTC,0,95,0,0,6.4,-,-
2021,10,3,06:00,UTC,0,95,0,0,6.6,-,-
2021,10,3,07:00,UTC,0,93,0,0,7,-,-
2021,10,3,08:00,UTC,0,91,0,0,7.8,-,-
2021,10,3,09:00,UTC,0,80,0,0,9.6,-,-
2021,10,3,10:00,UTC,0,69,0,0,11.3,-,-
2021,10,3,11:00,UTC,0,63,0,0,12,-,-
2021,10,3,12:00,UTC,0,65,0,0,11.6,-,-
2021,10,3,13:00,UTC,0,64,0,0,11.4,-,-
2021,10,3,14:00,UTC,0,65,0,0,11.3,-,-
2021,10,3,15:00,UTC,0,68,0,0,10.6,-,-
2021,10,3,16:00,UTC,0,72,0,0,9.6,-,-
2021,10,3,17:00,UTC,0,74,0,0,9,-,-
2021,10,3,18:00,UTC,0,74,0,0,9.2,-,-
2021,10,3,19:00,UTC,0,75,0,0,9.1,-,-
2021,10,3,20:00,UTC,0,75,0,0,9.2,-,-
2021,10,3,21:00,UTC,0,75,0,0,9.3,-,-
2021,10,3,22:00,UTC,0,79,0,0,8.7,-,-
2021,10,3,23:00,UTC,0,81,0,0,8.6,-,-
2021,10,4,00:00,UTC,0,81,0,0,8.8,-,-
2021,10,4,01:00,UTC,0,83,0,0,8.8,-,-
2021,10,4,02:00,UTC,0,84,0,0,8.8,-,-
2021,10,4,03:00,UTC,0,85,0,0,8.7,-,-
2021,10,4,04:00,UTC,0,86,0,0,8.9,-,-
2021,10,4,05:00,UTC,0,83,0,0,9.3,-,-
2021,10,4,06:00,UTC,0,85,0,0,9,-,-
2021,10,4,07:00,UTC,0,81,0,0,9.8,-,-
2021,10,4,08:00,UTC,0,75,0,0,10.7,-,-
2021,10,4,09:00,UTC,0,67,0,0,12,-,-
2021,10,4,10:00,UTC,0,65,0,0,12.2,-,-
2021,10,4,11:00,UTC,0,68,0,0,11.9,-,-
2021,10,4,12:00,UTC,0,79,0,0,10.9,-,-
2021,10,4,13:00,UTC,0.2,89,0.1,0,10.1,-,-
2021,10,4,14:00,UTC,0.8,93,1.1,0,9.7,-,-
2021,10,4,15:00,UTC,0.8,95,1.1,0,9.6,-,-
2021,10,4,16:00,UTC,0.4,96,0.7,0,9.4,-,-
2021,10,4,17:00,UTC,0.3,97,0.1,0,9.4,-,-
2021,10,4,18:00,UTC,0.1,97,0,0,9.5,-,-
2021,10,4,19:00,UTC,0.1,97,0.1,0,9.5,-,-
2021,10,4,20:00,UTC,0.2,98,0.4,0,9.6,-,-
2021,10,4,21:00,UTC,0.2,98,0,0,9.5,-,-
2021,10,4,22:00,UTC,0.2,98,0,0,9.5,-,-
2021,10,4,23:00,UTC,0.2,98,0.3,0,9.3,-,-
2021,10,5,00:00,UTC,0,98,0,0,9.2,-,-
2021,10,5,01:00,UTC,0,98,0,0,9.1,-,-
2021,10,5,02:00,UTC,1.1,98,1.3,0,8.9,-,-
2021,10,5,03:00,UTC,2,99,0.7,0,8.9,-,-
2021,10,5,04:00,UTC,0.9,98,0.8,0,8.9,-,-
2021,10,5,05:00,UTC,1.5,98,1.9,0,8.9,-,-
2021,10,5,06:00,UTC,0.7,99,0.4,0,8.9,-,-
2021,10,5,07:00,UTC,0,98,0,0,9,-,-
2021,10,5,08:00,UTC,0,97,0,0,9,-,-
2021,10,5,09:00,UTC,0,95,0,0,9.1,-,-
2021,10,5,10:00,UTC,0.1,96,0.3,0,8.9,-,-
2021,10,5,11:00,UTC,0,94,0,0,9.2,-,-
2021,10,5,12:00,UTC,0,95,0,0,9.1,-,-
2021,10,5,13:00,UTC,0.1,97,0,0,8.9,-,-
2021,10,5,14:00,UTC,0.1,98,0,0,8.8,-,-
2021,10,5,15:00,UTC,0,97,0,0,8.8,-,-
2021,10,5,16:00,UTC,0,95,0,0,9,-,-
2021,10,5,17:00,UTC,0.1,98,0.4,0,9,-,-
2021,10,5,18:00,UTC,0.2,98,0,0,9.1,-,-
2021,10,5,19:00,UTC,0,94,0,0,9.2,-,-
2021,10,5,20:00,UTC,0,93,0,0,8.8,-,-
2021,10,5,21:00,UTC,0,93,0,0,8.7,-,-
2021,10,5,22:00,UTC,0,95,0,0,8.4,-,-
2021,10,5,23:00,UTC,0,97,0,0,8.2,-,-
2021,10,6,00:00,UTC,0,99,0,0,8,-,-
2021,10,6,01:00,UTC,0,99,0,0,8,-,-
2021,10,6,02:00,UTC,0,98,0,0,8,-,-
2021,10,6,03:00,UTC,0,98,0,0,8.3,-,-
2021,10,6,04:00,UTC,0,99,0,0,8.5,-,-
2021,10,6,05:00,UTC,0,98,0,0,8.7,-,-
2021,10,6,06:00,UTC,0,97,0,0,8.7,-,-
2021,10,6,07:00,UTC,0,98,0,0,8.8,-,-
2021,10,6,08:00,UTC,0,98,0,0,8.9,-,-
2021,10,6,09:00,UTC,0,98,0,0,9,-,-
2021,10,6,10:00,UTC,0,98,0,0,9,-,-
2021,10,6,11:00,UTC,0,97,0,0,9.2,-,-
2021,10,6,12:00,UTC,0,95,0,0,9.2,-,-
2021,10,6,13:00,UTC,0.4,98,0.8,0,8.8,-,-
2021,10,6,14:00,UTC,2.8,99,4.6,0,8.5,-,-
2021,10,6,15:00,UTC,3.1,99,2,0,8.2,-,-
2021,10,6,16:00,UTC,2.3,99,2.5,0,8,-,-
