Year,m,d,Time,Time zone,Precipitation amount (mm),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2021,10,1,00:00,UTC,-,93,-,-,6,153,2.7
2021,10,1,01:00,UTC,-,91,-,-,5.8,153,2.7
2021,10,1,02:00,UTC,-,90,-,-,5.7,152,2.6
2021,10,1,03:00,UTC,-,87,-,-,5.5,153,2.6
2021,10,1,04:00,UTC,-,87,-,-,5.2,145,2.3
2021,10,1,05:00,UTC,-,86,-,-,5,137,3
2021,10,1,06:00,UTC,-,83,-,-,5,137,3
2021,10,1,07:00,UTC,-,84,-,-,5.1,152,2.2
2021,10,1,08:00,UTC,-,80,-,-,5.8,171,4.7
2021,10,1,09:00,UTC,-,79,-,-,6.2,158,3
2021,10,1,10:00,UTC,-,79,-,-,6.6,160,4
2021,10,1,11:00,UTC,-,81,-,-,6.4,151,4.2
2021,10,1,12:00,UTC,-,82,-,-,6.8,151,4.1
2021,10,1,13:00,UTC,-,80,-,-,7.1,158,3.7
2021,10,1,14:00,UTC,-,78,-,-,7.4,156,4.1
2021,10,1,15:00,UTC,-,77,-,-,7.4,156,3.8
2021,10,1,16:00,UTC,-,77,-,-,7.4,151,3.4
2021,10,1,17:00,UTC,-,78,-,-,7.5,181,4.2
2021,10,1,18:00,UTC,-,80,-,-,7.2,169,4.8
2021,10,1,19:00,UTC,-,79,-,-,7.3,166,4.5
2021,10,1,20:00,UTC,-,84,-,-,7,169,3.9
2021,10,1,21:00,UTC,-,91,-,-,6.6,156,4.5
2021,10,1,22:00,UTC,-,90,-,-,6.6,161,4.3
2021,10,1,23:00,UTC,-,89,-,-,6.8,153,4
2021,10,2,00:00,UTC,-,90,-,-,6.9,171,4
2021,10,2,01:00,UTC,-,89,-,-,7.1,173,5.4
2021,10,2,02:00,UTC,-,89,-,-,7.1,174,6
2021,10,2,03:00,UTC,-,88,-,-,7.2,174,5.3
2021,10,2,04:00,UTC,-,88,-,-,7.3,165,5.6
2021,10,2,05:00,UTC,-,88,-,-,7.5,165,5.3
2021,10,2,06:00,UTC,-,88,-,-,7.7,173,6.5
2021,10,2,07:00,UTC,-,95,-,-,7.3,177,5.8
2021,10,2,08:00,UTC,-,97,-,-,7.4,176,5.5
2021,10,2,09:00,UTC,-,98,-,-,7.7,181,5.6
2021,10,2,10:00,UTC,-,96,-,-,8.1,187,6
2021,10,2,11:00,UTC,-,92,-,-,8.6,177,6.1
2021,10,2,12:00,UTC,-,89,-,-,9.1,181,6
2021,10,2,13:00,UTC,-,82,-,-,9.8,187,6.5
2021,10,2,14:00,UTC,-,78,-,-,10.3,197,6.6
2021,10,2,15:00,UTC,-,77,-,-,10.3,187,5.1
2021,10,2,16:00,UTC,-,80,-,-,9.8,165,4.4
2021,10,2,17:00,UTC,-,81,-,-,9.5,161,4.3
2021,10,2,18:00,UTC,-,77,-,-,9.7,190,6.1
2021,10,2,19:00,UTC,-,82,-,-,8.3,171,5.8
2021,10,2,20:00,UTC,-,84,-,-,7.1,180,5.4
2021,10,2,21:00,UTC,-,88,-,-,5.8,178,4.1
2021,10,2,22:00,UTC,-,90,-,-,5.2,172,4.4
2021,10,2,23:00,UTC,-,94,-,-,4.2,142,2.6
2021,10,3,00:00,UTC,-,94,-,-,4.2,160,4.5
2021,10,3,01:00,UTC,-,93,-,-,5,167,3.5
2021,10,3,02:00,UTC,-,93,-,-,5.4,152,3.4
2021,10,3,03:00,UTC,-,94,-,-,5.9,153,3.3
2021,10,3,04:00,UTC,-,95,-,-,6,163,3.4
2021,10,3,05:00,UTC,-,94,-,-,6.5,161,4.4
2021,10,3,06:00,UTC,-,95,-,-,6.7,172,3.8
2021,10,3,07:00,UTC,-,93,-,-,7,155,4.4
2021,10,3,08:00,UTC,-,89,-,-,7.7,151,4
2021,10,3,09:00,UTC,-,79,-,-,9.3,155,4.5
2021,10,3,10:00,UTC,-,66,-,-,11.3,161,6.6
2021,10,3,11:00,UTC,-,62,-,-,11.9,169,7.2
2021,10,3,12:00,UTC,-,62,-,-,11.7,172,8.2
2021,10,3,13:00,UTC,-,63,-,-,11.6,167,5.9
2021,10,3,14:00,UTC,-,63,-,-,11.5,164,6.1
2021,10,3,15:00,UTC,-,66,-,-,10.8,146,4.8
2021,10,3,16:00,UTC,-,70,-,-,10,151,4
2021,10,3,17:00,UTC,-,72,-,-,9.4,151,5.4
2021,10,3,18:00,UTC,-,72,-,-,9.4,156,6.2
2021,10,3,19:00,UTC,-,72,-,-,9.3,155,6.5
2021,10,3,20:00,UTC,-,74,-,-,9.3,170,5.6
2021,10,3,21:00,UTC,-,74,-,-,9.3,161,7.6
2021,10,3,22:00,UTC,-,77,-,-,8.9,157,6.4
2021,10,3,23:00,UTC,-,79,-,-,8.9,167,5
2021,10,4,00:00,UTC,-,81,-,-,8.8,169,6.3
2021,10,4,01:00,UTC,-,81,-,-,8.9,167,6.3
2021,10,4,02:00,UTC,-,83,-,-,8.9,161,6.8
2021,10,4,03:00,UTC,-,84,-,-,8.8,165,6.5
2021,10,4,04:00,UTC,-,84,-,-,9.1,161,6.8
2021,10,4,05:00,UTC,-,82,-,-,9.4,171,6.8
2021,10,4,06:00,UTC,-,83,-,-,9.3,158,6
2021,10,4,07:00,UTC,-,80,-,-,9.9,165,7
2021,10,4,08:00,UTC,-,75,-,-,10.7,174,8.2
2021,10,4,09:00,UTC,-,66,-,-,12,185,9.7
2021,10,4,10:00,UTC,-,65,-,-,12.2,187,8.7
2021,10,4,11:00,UTC,-,68,-,-,11.9,185,8.6
2021,10,4,12:00,UTC,-,77,-,-,11.1,190,8.6
2021,10,4,13:00,UTC,-,85,-,-,10.4,186,6.5
2021,10,4,14:00,UTC,-,90,-,-,10,188,5.5
2021,10,4,15:00,UTC,-,93,-,-,9.8,179,7.1
2021,10,4,16:00,UTC,-,94,-,-,9.6,180,7.9
2021,10,4,17:00,UTC,-,95,-,-,9.6,173,7.6
2021,10,4,18:00,UTC,-,95,-,-,9.7,180,7.6
2021,10,4,19:00,UTC,-,96,-,-,9.6,178,7.6
2021,10,4,20:00,UTC,-,97,-,-,9.7,183,7.1
2021,10,4,21:00,UTC,-,96,-,-,9.7,186,6.8
2021,10,4,22:00,UTC,-,97,-,-,9.6,186,7.2
