Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave solar radiation (W/m2),Long wave outgoing solar radiation (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2021,10,1,00:00,UTC,0.1,-,-1.4,328.5,341.4,-11.4,-2.8,0,-
2021,10,1,01:00,UTC,0.3,-,-0.7,327.3,340.6,-11.4,-2.7,0,-
2021,10,1,02:00,UTC,0.6,-,-1,325.5,339.6,-12.3,-2.7,0,-
2021,10,1,03:00,UTC,0.4,-,-0.8,324.7,338.9,-12.4,-2.6,0,-
2021,10,1,04:00,UTC,0.2,-,-0.8,322.8,337.4,-12.2,-3.1,0,-
2021,10,1,05:00,UTC,4.6,-,3.7,322.8,336.7,-7.7,-2.4,0,-
2021,10,1,06:00,UTC,13.3,-,13.6,323.4,337.8,0.8,-1.6,0,-
2021,10,1,07:00,UTC,42.2,-,42.3,325.6,340.6,26.5,0.9,0,-
2021,10,1,08:00,UTC,133.9,-,171.7,291.2,349.5,100,13.5,20,-
2021,10,1,09:00,UTC,139.9,-,145,309.4,352.1,90.6,11.6,0,-
2021,10,1,10:00,UTC,75,-,76.7,337.2,354.7,54.5,4.6,0,-
2021,10,1,11:00,UTC,20.3,-,20.5,337.8,348.9,11.2,-1.8,0,-
2021,10,1,12:00,UTC,68.2,-,69.5,329.9,351.1,45.2,3,0,-
2021,10,1,13:00,UTC,50.9,-,51.8,331.3,351.8,29.8,1.5,0,-
2021,10,1,14:00,UTC,45.6,-,44.6,333.5,350.9,26.8,0.4,0,-
2021,10,1,15:00,UTC,8.7,-,8,336.1,349.5,-2.6,-2.8,0,-
2021,10,1,16:00,UTC,0.8,-,-0.2,341.1,348.2,-3.8,-3.5,0,-
2021,10,1,17:00,UTC,0.1,-,-1.1,342.4,348.4,-1.7,-5.4,0,-
2021,10,1,18:00,UTC,0.1,-,-1,342.7,347.7,-1.9,-4,0,-
2021,10,1,19:00,UTC,0.3,-,-0.8,343.4,347.8,-1.2,-4.1,0,-
2021,10,1,20:00,UTC,1.2,-,-0.9,344.4,347.2,0.8,-4.4,0,-
2021,10,1,21:00,UTC,0.2,-,-1.5,342.5,345.9,-1.4,-3.6,0,-
2021,10,1,22:00,UTC,0.6,-,-0.6,342.5,346,-0.7,-3.4,0,-
2021,10,1,23:00,UTC,0,-,-1,341.8,345.5,-1,-3.7,0,-
2021,10,2,00:00,UTC,0,-,-1.5,342.9,346.6,-1.4,-3.7,0,-
2021,10,2,01:00,UTC,0.3,-,-0.8,343.2,347,0,-4.6,0,-
2021,10,2,02:00,UTC,0.3,-,-0.9,343.4,347.2,0.4,-5.2,0,-
2021,10,2,03:00,UTC,0.2,-,-0.9,340.3,347.1,-3.6,-4.1,0,-
2021,10,2,04:00,UTC,0.5,-,-1,339.5,347,-3.8,-4.7,0,-
2021,10,2,05:00,UTC,5.1,-,4.2,345.8,348.8,5.1,-3.9,0,-
2021,10,2,06:00,UTC,10.3,-,9.2,347.4,350.4,11.1,-4.9,0,-
2021,10,2,07:00,UTC,9.7,-,8.1,349.3,349.9,11.9,-4.4,0,-
2021,10,2,08:00,UTC,17.2,-,17,351.1,351.1,20.4,-3.4,0,-
2021,10,2,09:00,UTC,11.7,-,11.6,354.3,352.2,17.8,-4.1,0,-
2021,10,2,10:00,UTC,41.2,-,44.3,350.8,354.5,42.1,-1.5,0,-
2021,10,2,11:00,UTC,25.8,-,27,350.7,355.7,25.1,-3.1,0,-
2021,10,2,12:00,UTC,43.3,-,44.9,351,358.4,39.2,-1.6,0,-
2021,10,2,13:00,UTC,70.2,-,69.5,352.3,363.7,57.1,0.9,0,-
2021,10,2,14:00,UTC,62.3,-,60.1,344.5,363.6,41.4,-0.3,0,-
2021,10,2,15:00,UTC,17.5,-,15.4,350.3,361.3,7.9,-3.5,0,-
2021,10,2,16:00,UTC,0.4,-,-1,348.7,358.1,-5.7,-4.7,0,-
2021,10,2,17:00,UTC,0.6,-,-1.1,346.3,356.7,-7.7,-3.8,0,-
2021,10,2,18:00,UTC,0.1,-,-1.7,337.9,355.4,-12.7,-6.6,0,-
2021,10,2,19:00,UTC,1.2,-,-1.1,329.8,351.1,-17.5,-5,0,-
2021,10,2,20:00,UTC,0.8,-,-1.2,320.8,345.6,-22.2,-3.8,0,-
2021,10,2,21:00,UTC,0.8,-,-2.6,269.8,334.3,-63.2,-3.9,0,-
2021,10,2,22:00,UTC,0.6,-,-2.7,265.4,329.3,-63.3,-3.3,0,-
2021,10,2,23:00,UTC,0.4,-,-2.4,261.5,323.3,-61.1,-3,0,-
2021,10,3,00:00,UTC,0,-,-1.1,300.4,328.8,-26.4,-3.1,0,-
2021,10,3,01:00,UTC,0.1,-,-0.7,332.2,335.6,-1.1,-3,0,-
2021,10,3,02:00,UTC,0,-,-0.9,334.6,338.2,-1.4,-3.1,0,-
2021,10,3,03:00,UTC,0.1,-,-0.9,326.6,339.9,-10.9,-3.2,0,-
2021,10,3,04:00,UTC,0.8,-,-1.8,282.1,336.9,-53,-3.7,0,-
2021,10,3,05:00,UTC,6.4,-,6.1,342.8,344.2,8.1,-3.3,0,-
2021,10,3,06:00,UTC,24.2,-,24.2,344.5,347.1,23.6,-1.9,0,-
2021,10,3,07:00,UTC,67.3,-,69.9,340.2,350.7,57.2,2.2,0,-
2021,10,3,08:00,UTC,175.8,-,223.5,329,360,173.8,18.7,0,-
2021,10,3,09:00,UTC,73.2,-,217,282.9,362.2,119.5,18.2,60,-
2021,10,3,10:00,UTC,63,-,301.3,288,376.5,180.5,32.3,60,-
2021,10,3,11:00,UTC,66.2,-,186.3,292.2,377.7,82.8,18.1,60,-
2021,10,3,12:00,UTC,110.4,-,114.9,298.9,369.3,37,7.6,0,-
2021,10,3,13:00,UTC,92.8,-,108.8,293.8,366.5,28.2,7.9,0,-
2021,10,3,14:00,UTC,71.6,-,87.1,295.3,362.7,15.8,4,0,-
2021,10,3,15:00,UTC,23.6,-,20,294.9,355.9,-38.9,-2.1,0,-
2021,10,3,16:00,UTC,1.1,-,-2.5,287.5,347.7,-58.4,-4.3,0,-
2021,10,3,17:00,UTC,0.4,-,-2.7,289.1,345.1,-54.1,-4.6,0,-
2021,10,3,18:00,UTC,0.1,-,-2.4,299.4,345.9,-44.2,-4.7,0,-
2021,10,3,19:00,UTC,0.3,-,-3,289.2,345.3,-54,-5.1,0,-
2021,10,3,20:00,UTC,1.2,-,-2.3,292.4,345.9,-50.9,-4.9,0,-
2021,10,3,21:00,UTC,1.4,-,-2,318.1,349.5,-28.3,-5,0,-
2021,10,3,22:00,UTC,0.6,-,-1.9,301.7,346.3,-41.4,-5.2,0,-
2021,10,3,23:00,UTC,0.4,-,-2,316.8,347.1,-26.8,-5.6,0,-
