Observation station;Year;Month;Day;Time [Local time];Long wave solar radiation mean [kJ/m2];Long wave outgoing solar radiation mean [kJ/m2];Global radiation mean [W/m2];Reflected radiation mean [W/m2]
Sodankylä Tähtelä;2022;11;01;00:00;305.4;309.5;-0.5;0
Sodankylä Tähtelä;2022;11;01;01:00;304.8;309;-0.3;0
Sodankylä Tähtelä;2022;11;01;02:00;304.4;308.8;-0.1;-0.1
Sodankylä Tähtelä;2022;11;01;03:00;307.8;309.2;-0.1;-0.2
Sodankylä Tähtelä;2022;11;01;04:00;311.2;313.1;-0.7;-0.1
Sodankylä Tähtelä;2022;11;01;05:00;311.5;311.5;-1;-0.1
Sodankylä Tähtelä;2022;11;01;06:00;310.6;310.1;-0.7;-0.2
Sodankylä Tähtelä;2022;11;01;07:00;309.4;310;-0.7;-0.3
Sodankylä Tähtelä;2022;11;01;08:00;308.2;310.3;-0.4;-0.1
Sodankylä Tähtelä;2022;11;01;09:00;308.5;311.4;3.8;1.8
Sodankylä Tähtelä;2022;11;01;10:00;297.8;311.4;22.1;9.8
Sodankylä Tähtelä;2022;11;01;11:00;288.3;310.2;54;23.2
Sodankylä Tähtelä;2022;11;01;12:00;304;314.6;54.5;23.9
Sodankylä Tähtelä;2022;11;01;13:00;301;315.4;58.9;25.1
Sodankylä Tähtelä;2022;11;01;14:00;299.2;315.1;40.2;17.2
Sodankylä Tähtelä;2022;11;01;15:00;290.8;313.2;24.7;10.4
Sodankylä Tähtelä;2022;11;01;16:00;307.6;314;4.2;1.8
Sodankylä Tähtelä;2022;11;01;17:00;305.3;312.3;-0.2;-0.1
Sodankylä Tähtelä;2022;11;01;18:00;302.9;311.7;-0.2;-0.1
Sodankylä Tähtelä;2022;11;01;19:00;288.2;307.3;-0.5;-0.1
Sodankylä Tähtelä;2022;11;01;20:00;292;306.1;-0.8;-0.1
Sodankylä Tähtelä;2022;11;01;21:00;284.3;303.1;-0.4;-0.1
Sodankylä Tähtelä;2022;11;01;22:00;265;298.2;-0.7;0
Sodankylä Tähtelä;2022;11;01;23:00;245.8;292;-1.1;0.1
Sodankylä Tähtelä;2022;11;02;00:00;249.8;289.1;-1.1;-0.1
Sodankylä Tähtelä;2022;11;02;01:00;247.2;286.4;-1;-0.1
Sodankylä Tähtelä;2022;11;02;02:00;257.2;287.5;-1;-0.1
Sodankylä Tähtelä;2022;11;02;03:00;253;288.2;-0.9;-0.2
Sodankylä Tähtelä;2022;11;02;04:00;239.6;283;-1.3;-0.1
Sodankylä Tähtelä;2022;11;02;05:00;258.4;287.3;-0.9;-0.1
Sodankylä Tähtelä;2022;11;02;06:00;266.5;291.6;-0.7;-0.1
Sodankylä Tähtelä;2022;11;02;07:00;285.5;296.6;-0.4;0
Sodankylä Tähtelä;2022;11;02;08:00;286.8;299;-0.4;0.1
Sodankylä Tähtelä;2022;11;02;09:00;290.9;300.5;4.9;2.3
Sodankylä Tähtelä;2022;11;02;10:00;291.7;302.5;23.9;10.8
