Observation station,Year,Month,Day,Time [Local time],Wind speed [m/s],Snow depth [cm],Precipitation amount [mm],Air temperature [°C],Relative humidity [%],Dew-point temperature [°C],Gust speed [m/s]
"Sodankylä Tähtelä","2023","02","10","00:00","5.3","65","0","-0.9","89","-2.5","10"
"Sodankylä Tähtelä","2023","02","10","00:01","5.2","65","0","-0.9","89","-2.5","10"
"Sodankylä Tähtelä","2023","02","10","00:02","5.1","65","0","-0.9","89","-2.4","10"
"Sodankylä Tähtelä","2023","02","10","00:03","5","65","0","-0.9","89","-2.4","10"
"Sodankylä Tähtelä","2023","02","10","00:04","5.1","65","0","-0.9","89","-2.4","10"
"Sodankylä Tähtelä","2023","02","10","00:05","4.9","65","0","-0.9","89","-2.4","9.7"
"Sodankylä Tähtelä","2023","02","10","00:06","4.8","65","0","-0.9","89","-2.4","9.2"
"Sodankylä Tähtelä","2023","02","10","00:07","5.1","65","0","-0.9","89","-2.4","9.4"
"Sodankylä Tähtelä","2023","02","10","00:08","5.1","65","0","-0.9","89","-2.4","9.4"
"Sodankylä Tähtelä","2023","02","10","00:09","5.2","65","0","-0.9","89","-2.4","9.5"
"Sodankylä Tähtelä","2023","02","10","00:10","5.4","65","0","-0.8","89","-2.4","9.5"
"Sodankylä Tähtelä","2023","02","10","00:11","5.4","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:12","5.4","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:13","5.6","65","0","-0.9","89","-2.4","9.5"
"Sodankylä Tähtelä","2023","02","10","00:14","5.3","65","0","-0.9","89","-2.4","9.5"
"Sodankylä Tähtelä","2023","02","10","00:15","5.3","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:16","5.3","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:17","5","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:18","4.8","65","0","-0.9","89","-2.5","9.5"
"Sodankylä Tähtelä","2023","02","10","00:19","4.6","65","0","-1","89","-2.5","8.2"
"Sodankylä Tähtelä","2023","02","10","00:20","4.6","65","0","-1","89","-2.5","8.2"
"Sodankylä Tähtelä","2023","02","10","00:21","4.6","65","0","-1","89","-2.5","8.2"
"Sodankylä Tähtelä","2023","02","10","00:22","4.6","65","0","-1","89","-2.5","8.2"
"Sodankylä Tähtelä","2023","02","10","00:23","4.5","65","0","-1","89","-2.5","8.2"
"Sodankylä Tähtelä","2023","02","10","00:24","4.7","65","0","-1","89","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:25","4.7","65","0","-1","89","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:26","4.7","65","0","-1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:27","4.8","65","0","-1","89","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:28","4.8","65","0","-1","89","-2.6","9.4"
"Sodankylä Tähtelä","2023","02","10","00:29","4.7","65","0","-1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:30","4.6","65","0","-1.1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:31","4.8","65","0","-1.1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:32","5","65","0","-1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:33","5","65","0","-1","90","-2.5","9.4"
"Sodankylä Tähtelä","2023","02","10","00:34","5","65","0","-1","89","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:35","4.9","65","0","-1","90","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:36","5","65","0","-1.1","90","-2.6","8.9"
"Sodankylä Tähtelä","2023","02","10","00:37","5","65","0","-1.1","90","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:38","5","65","0","-1.1","90","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:39","5.1","65","0","-1.1","90","-2.6","8.9"
"Sodankylä Tähtelä","2023","02","10","00:40","5.1","65","0","-1.1","90","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:41","5","65","0","-1.1","90","-2.5","8.9"
"Sodankylä Tähtelä","2023","02","10","00:42","4.9","65","0","-1.1","90","-2.6","8.9"
