Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2011","11","01","00:00","-1"
"Sodankylä Tähtelä","2011","11","01","00:10","-1"
"Sodankylä Tähtelä","2011","11","01","00:20","-1"
"Sodankylä Tähtelä","2011","11","01","00:30","-1"
"Sodankylä Tähtelä","2011","11","01","00:40","-1"
"Sodankylä Tähtelä","2011","11","01","00:50","-1"
"Sodankylä Tähtelä","2011","11","01","01:00","-1"
"Sodankylä Tähtelä","2011","11","01","01:10","-1"
"Sodankylä Tähtelä","2011","11","01","01:20","-1"
"Sodankylä Tähtelä","2011","11","01","01:30","-1"
"Sodankylä Tähtelä","2011","11","01","01:40","-1"
"Sodankylä Tähtelä","2011","11","01","01:50","-1"
"Sodankylä Tähtelä","2011","11","01","02:00","-1"
"Sodankylä Tähtelä","2011","11","01","02:10","-1"
"Sodankylä Tähtelä","2011","11","01","02:20","-1"
"Sodankylä Tähtelä","2011","11","01","02:30","-1"
"Sodankylä Tähtelä","2011","11","01","02:40","-1"
"Sodankylä Tähtelä","2011","11","01","02:50","-1"
"Sodankylä Tähtelä","2011","11","01","03:00","-1"
"Sodankylä Tähtelä","2011","11","01","03:10","-1"
"Sodankylä Tähtelä","2011","11","01","03:20","-1"
"Sodankylä Tähtelä","2011","11","01","03:30","-1"
"Sodankylä Tähtelä","2011","11","01","03:40","-1"
"Sodankylä Tähtelä","2011","11","01","03:50","-1"
"Sodankylä Tähtelä","2011","11","01","04:00","-1"
"Sodankylä Tähtelä","2011","11","01","04:10","-1"
"Sodankylä Tähtelä","2011","11","01","04:20","-1"
"Sodankylä Tähtelä","2011","11","01","04:30","-1"
"Sodankylä Tähtelä","2011","11","01","04:40","-1"
"Sodankylä Tähtelä","2011","11","01","04:50","-1"
"Sodankylä Tähtelä","2011","11","01","05:00","-1"
"Sodankylä Tähtelä","2011","11","01","05:10","-1"
"Sodankylä Tähtelä","2011","11","01","05:20","-1"
"Sodankylä Tähtelä","2011","11","01","05:30","-1"
"Sodankylä Tähtelä","2011","11","01","05:40","-1"
"Sodankylä Tähtelä","2011","11","01","05:50","-1"
"Sodankylä Tähtelä","2011","11","01","06:00","-1"
"Sodankylä Tähtelä","2011","11","01","06:10","-1"
"Sodankylä Tähtelä","2011","11","01","06:20","-1"
"Sodankylä Tähtelä","2011","11","01","06:30","-1"
"Sodankylä Tähtelä","2011","11","01","06:40","-1"
"Sodankylä Tähtelä","2011","11","01","06:50","-1"
"Sodankylä Tähtelä","2011","11","01","07:00","-1"
"Sodankylä Tähtelä","2011","11","01","07:10","-1"
"Sodankylä Tähtelä","2011","11","01","07:20","-1"
"Sodankylä Tähtelä","2011","11","01","07:30","-1"
"Sodankylä Tähtelä","2011","11","01","07:40","-1"
"Sodankylä Tähtelä","2011","11","01","07:50","-1"
