Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2017","11","01","00:00","6.9"
"Sodankylä Tähtelä","2017","11","01","00:10","6.8"
"Sodankylä Tähtelä","2017","11","01","00:20","7"
"Sodankylä Tähtelä","2017","11","01","00:30","7"
"Sodankylä Tähtelä","2017","11","01","00:40","7"
"Sodankylä Tähtelä","2017","11","01","00:50","7"
"Sodankylä Tähtelä","2017","11","01","01:00","7"
"Sodankylä Tähtelä","2017","11","01","01:10","7"
"Sodankylä Tähtelä","2017","11","01","01:20","7"
"Sodankylä Tähtelä","2017","11","01","01:30","7"
"Sodankylä Tähtelä","2017","11","01","01:40","7"
"Sodankylä Tähtelä","2017","11","01","01:50","7"
"Sodankylä Tähtelä","2017","11","01","02:00","7"
"Sodankylä Tähtelä","2017","11","01","02:10","7"
"Sodankylä Tähtelä","2017","11","01","02:20","7"
"Sodankylä Tähtelä","2017","11","01","02:30","7"
"Sodankylä Tähtelä","2017","11","01","02:40","7"
"Sodankylä Tähtelä","2017","11","01","02:50","7"
"Sodankylä Tähtelä","2017","11","01","03:00","7"
"Sodankylä Tähtelä","2017","11","01","03:10","7"
"Sodankylä Tähtelä","2017","11","01","03:20","7"
"Sodankylä Tähtelä","2017","11","01","03:30","7"
"Sodankylä Tähtelä","2017","11","01","03:40","7"
"Sodankylä Tähtelä","2017","11","01","03:50","7"
"Sodankylä Tähtelä","2017","11","01","04:00","7"
"Sodankylä Tähtelä","2017","11","01","04:10","7"
"Sodankylä Tähtelä","2017","11","01","04:20","7"
"Sodankylä Tähtelä","2017","11","01","04:30","7"
"Sodankylä Tähtelä","2017","11","01","04:40","7"
"Sodankylä Tähtelä","2017","11","01","04:50","7"
"Sodankylä Tähtelä","2017","11","01","05:00","7"
"Sodankylä Tähtelä","2017","11","01","05:10","7"
"Sodankylä Tähtelä","2017","11","01","05:20","7"
"Sodankylä Tähtelä","2017","11","01","05:30","7"
"Sodankylä Tähtelä","2017","11","01","05:40","7"
"Sodankylä Tähtelä","2017","11","01","05:50","7"
"Sodankylä Tähtelä","2017","11","01","06:00","7"
"Sodankylä Tähtelä","2017","11","01","06:10","7"
"Sodankylä Tähtelä","2017","11","01","06:20","7"
"Sodankylä Tähtelä","2017","11","01","06:30","7"
"Sodankylä Tähtelä","2017","11","01","06:40","7"
"Sodankylä Tähtelä","2017","11","01","06:50","7"
"Sodankylä Tähtelä","2017","11","01","07:00","7"
"Sodankylä Tähtelä","2017","11","01","07:10","7"
"Sodankylä Tähtelä","2017","11","01","07:20","7"
"Sodankylä Tähtelä","2017","11","01","07:30","7"
"Sodankylä Tähtelä","2017","11","01","07:40","7"
"Sodankylä Tähtelä","2017","11","01","07:50","7"
"Sodankylä Tähtelä","2017","11","01","08:00","7"
"Sodankylä Tähtelä","2017","11","01","08:10","7"
"Sodankylä Tähtelä","2017","11","01","08:20","7"
"Sodankylä Tähtelä","2017","11","01","08:30","7"
"Sodankylä Tähtelä","2017","11","01","08:40","7"
"Sodankylä Tähtelä","2017","11","01","08:50","7"
"Sodankylä Tähtelä","2017","11","01","09:00","7"
"Sodankylä Tähtelä","2017","11","01","09:10","7"
"Sodankylä Tähtelä","2017","11","01","09:20","7"
"Sodankylä Tähtelä","2017","11","01","09:30","7"
"Sodankylä Tähtelä","2017","11","01","09:40","7"
"Sodankylä Tähtelä","2017","11","01","09:50","7"
"Sodankylä Tähtelä","2017","11","01","10:00","7"
"Sodankylä Tähtelä","2017","11","01","10:10","7"
"Sodankylä Tähtelä","2017","11","01","10:20","7"
"Sodankylä Tähtelä","2017","11","01","10:30","7"
"Sodankylä Tähtelä","2017","11","01","10:40","7"
"Sodankylä Tähtelä","2017","11","01","10:50","6.9"
"Sodankylä Tähtelä","2017","11","01","11:00","6.7"
"Sodankylä Tähtelä","2017","11","01","11:10","6.9"
"Sodankylä Tähtelä","2017","11","01","11:20","6"
"Sodankylä Tähtelä","2017","11","01","11:30","6"
"Sodankylä Tähtelä","2017","11","01","11:40","6"
"Sodankylä Tähtelä","2017","11","01","11:50","6"
"Sodankylä Tähtelä","2017","11","01","12:00","6"
"Sodankylä Tähtelä","2017","11","01","12:10","6"
"Sodankylä Tähtelä","2017","11","01","12:20","6"
"Sodankylä Tähtelä","2017","11","01","12:30","6"
"Sodankylä Tähtelä","2017","11","01","12:40","6.4"
"Sodankylä Tähtelä","2017","11","01","12:50","6.1"
"Sodankylä Tähtelä","2017","11","01","13:00","6"
"Sodankylä Tähtelä","2017","11","01","13:10","6"
"Sodankylä Tähtelä","2017","11","01","13:20","6"
