Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2019","11","01","00:00","26"
"Sodankylä Tähtelä","2019","11","01","00:10","26"
"Sodankylä Tähtelä","2019","11","01","00:20","26"
"Sodankylä Tähtelä","2019","11","01","00:30","26"
"Sodankylä Tähtelä","2019","11","01","00:40","26"
"Sodankylä Tähtelä","2019","11","01","00:50","26"
"Sodankylä Tähtelä","2019","11","01","01:00","26"
"Sodankylä Tähtelä","2019","11","01","01:10","26"
"Sodankylä Tähtelä","2019","11","01","01:20","26"
"Sodankylä Tähtelä","2019","11","01","01:30","26"
"Sodankylä Tähtelä","2019","11","01","01:40","25.3"
"Sodankylä Tähtelä","2019","11","01","01:50","25"
"Sodankylä Tähtelä","2019","11","01","02:00","25"
"Sodankylä Tähtelä","2019","11","01","02:10","25"
"Sodankylä Tähtelä","2019","11","01","02:20","25"
"Sodankylä Tähtelä","2019","11","01","02:30","25"
"Sodankylä Tähtelä","2019","11","01","02:40","25"
"Sodankylä Tähtelä","2019","11","01","02:50","25"
"Sodankylä Tähtelä","2019","11","01","03:00","25"
"Sodankylä Tähtelä","2019","11","01","03:10","25"
"Sodankylä Tähtelä","2019","11","01","03:20","25"
"Sodankylä Tähtelä","2019","11","01","03:30","25"
"Sodankylä Tähtelä","2019","11","01","03:40","25"
"Sodankylä Tähtelä","2019","11","01","03:50","25"
"Sodankylä Tähtelä","2019","11","01","04:00","25"
"Sodankylä Tähtelä","2019","11","01","04:10","25"
"Sodankylä Tähtelä","2019","11","01","04:20","25"
"Sodankylä Tähtelä","2019","11","01","04:30","25"
"Sodankylä Tähtelä","2019","11","01","04:40","25"
"Sodankylä Tähtelä","2019","11","01","04:50","25"
"Sodankylä Tähtelä","2019","11","01","05:00","25"
"Sodankylä Tähtelä","2019","11","01","05:10","25"
"Sodankylä Tähtelä","2019","11","01","05:20","25"
"Sodankylä Tähtelä","2019","11","01","05:30","25"
"Sodankylä Tähtelä","2019","11","01","05:40","25"
"Sodankylä Tähtelä","2019","11","01","05:50","25"
"Sodankylä Tähtelä","2019","11","01","06:00","25"
"Sodankylä Tähtelä","2019","11","01","06:10","25"
"Sodankylä Tähtelä","2019","11","01","06:20","25"
"Sodankylä Tähtelä","2019","11","01","06:30","25"
"Sodankylä Tähtelä","2019","11","01","06:40","25"
"Sodankylä Tähtelä","2019","11","01","06:50","25"
"Sodankylä Tähtelä","2019","11","01","07:00","25"
"Sodankylä Tähtelä","2019","11","01","07:10","25"
"Sodankylä Tähtelä","2019","11","01","07:20","25"
"Sodankylä Tähtelä","2019","11","01","07:30","25"
"Sodankylä Tähtelä","2019","11","01","07:40","25"
"Sodankylä Tähtelä","2019","11","01","07:50","25"
"Sodankylä Tähtelä","2019","11","01","08:00","25"
"Sodankylä Tähtelä","2019","11","01","08:10","25"
