Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2020","11","01","00:00","2"
"Sodankylä Tähtelä","2020","11","01","00:10","2"
"Sodankylä Tähtelä","2020","11","01","00:20","2"
"Sodankylä Tähtelä","2020","11","01","00:30","2"
"Sodankylä Tähtelä","2020","11","01","00:40","2"
"Sodankylä Tähtelä","2020","11","01","00:50","2"
"Sodankylä Tähtelä","2020","11","01","01:00","2"
"Sodankylä Tähtelä","2020","11","01","01:10","2"
"Sodankylä Tähtelä","2020","11","01","01:20","2"
"Sodankylä Tähtelä","2020","11","01","01:30","2"
"Sodankylä Tähtelä","2020","11","01","01:40","2"
"Sodankylä Tähtelä","2020","11","01","01:50","2"
"Sodankylä Tähtelä","2020","11","01","02:00","2"
"Sodankylä Tähtelä","2020","11","01","02:10","2"
"Sodankylä Tähtelä","2020","11","01","02:20","2"
"Sodankylä Tähtelä","2020","11","01","02:30","2"
"Sodankylä Tähtelä","2020","11","01","02:40","2"
"Sodankylä Tähtelä","2020","11","01","02:50","2"
"Sodankylä Tähtelä","2020","11","01","03:00","2"
"Sodankylä Tähtelä","2020","11","01","03:10","2"
"Sodankylä Tähtelä","2020","11","01","03:20","2"
"Sodankylä Tähtelä","2020","11","01","03:30","2"
"Sodankylä Tähtelä","2020","11","01","03:40","2"
"Sodankylä Tähtelä","2020","11","01","03:50","2"
"Sodankylä Tähtelä","2020","11","01","04:00","2"
"Sodankylä Tähtelä","2020","11","01","04:10","2"
"Sodankylä Tähtelä","2020","11","01","04:20","2"
"Sodankylä Tähtelä","2020","11","01","04:30","2"
"Sodankylä Tähtelä","2020","11","01","04:40","2"
"Sodankylä Tähtelä","2020","11","01","04:50","2"
"Sodankylä Tähtelä","2020","11","01","05:00","2"
"Sodankylä Tähtelä","2020","11","01","05:10","2"
"Sodankylä Tähtelä","2020","11","01","05:20","2"
"Sodankylä Tähtelä","2020","11","01","05:30","2"
"Sodankylä Tähtelä","2020","11","01","05:40","2"
"Sodankylä Tähtelä","2020","11","01","05:50","2"
"Sodankylä Tähtelä","2020","11","01","06:00","2"
"Sodankylä Tähtelä","2020","11","01","06:10","2"
"Sodankylä Tähtelä","2020","11","01","06:20","2"
"Sodankylä Tähtelä","2020","11","01","06:30","2"
"Sodankylä Tähtelä","2020","11","01","06:40","2"
"Sodankylä Tähtelä","2020","11","01","06:50","2"
"Sodankylä Tähtelä","2020","11","01","07:00","2"
"Sodankylä Tähtelä","2020","11","01","07:10","2"
"Sodankylä Tähtelä","2020","11","01","07:20","2"
"Sodankylä Tähtelä","2020","11","01","07:30","2"
"Sodankylä Tähtelä","2020","11","01","07:40","2"
"Sodankylä Tähtelä","2020","11","01","07:50","2"
"Sodankylä Tähtelä","2020","11","01","08:00","2"
"Sodankylä Tähtelä","2020","11","01","08:10","2"
"Sodankylä Tähtelä","2020","11","01","08:20","2"
"Sodankylä Tähtelä","2020","11","01","08:30","2"
"Sodankylä Tähtelä","2020","11","01","08:40","2"
"Sodankylä Tähtelä","2020","11","01","08:50","2"
"Sodankylä Tähtelä","2020","11","01","09:00","2"
"Sodankylä Tähtelä","2020","11","01","09:10","2"
"Sodankylä Tähtelä","2020","11","01","09:20","2"
"Sodankylä Tähtelä","2020","11","01","09:30","2"
"Sodankylä Tähtelä","2020","11","01","09:40","2"
"Sodankylä Tähtelä","2020","11","01","09:50","2"
"Sodankylä Tähtelä","2020","11","01","10:00","2"
"Sodankylä Tähtelä","2020","11","01","10:10","2"
"Sodankylä Tähtelä","2020","11","01","10:20","2"
"Sodankylä Tähtelä","2020","11","01","10:30","2"
"Sodankylä Tähtelä","2020","11","01","10:40","2"
"Sodankylä Tähtelä","2020","11","01","10:50","2"
"Sodankylä Tähtelä","2020","11","01","11:00","2"
"Sodankylä Tähtelä","2020","11","01","11:10","2"
"Sodankylä Tähtelä","2020","11","01","11:20","2"
"Sodankylä Tähtelä","2020","11","01","11:30","2"
"Sodankylä Tähtelä","2020","11","01","11:40","2"
"Sodankylä Tähtelä","2020","11","01","11:50","2"
"Sodankylä Tähtelä","2020","11","01","12:00","2"
"Sodankylä Tähtelä","2020","11","01","12:10","2"
"Sodankylä Tähtelä","2020","11","01","12:20","2"
"Sodankylä Tähtelä","2020","11","01","12:30","2"
"Sodankylä Tähtelä","2020","11","01","12:40","2"
"Sodankylä Tähtelä","2020","11","01","12:50","2"
"Sodankylä Tähtelä","2020","11","01","13:00","2"
"Sodankylä Tähtelä","2020","11","01","13:10","1.3"
"Sodankylä Tähtelä","2020","11","01","13:20","0"
"Sodankylä Tähtelä","2020","11","01","13:30","0"
"Sodankylä Tähtelä","2020","11","01","13:40","0"
"Sodankylä Tähtelä","2020","11","01","13:50","0"
"Sodankylä Tähtelä","2020","11","01","14:00","0"
"Sodankylä Tähtelä","2020","11","01","14:10","0"
"Sodankylä Tähtelä","2020","11","01","14:20","0"
"Sodankylä Tähtelä","2020","11","01","14:30","0"
"Sodankylä Tähtelä","2020","11","01","14:40","0"
"Sodankylä Tähtelä","2020","11","01","14:50","0"
"Sodankylä Tähtelä","2020","11","01","15:00","0"
"Sodankylä Tähtelä","2020","11","01","15:10","0"
"Sodankylä Tähtelä","2020","11","01","15:20","0"
"Sodankylä Tähtelä","2020","11","01","15:30","0"
"Sodankylä Tähtelä","2020","11","01","15:40","0"
"Sodankylä Tähtelä","2020","11","01","15:50","0"
"Sodankylä Tähtelä","2020","11","01","16:00","0"
"Sodankylä Tähtelä","2020","11","01","16:10","0"
"Sodankylä Tähtelä","2020","11","01","16:20","0"
"Sodankylä Tähtelä","2020","11","01","16:30","0"
"Sodankylä Tähtelä","2020","11","01","16:40","0"
"Sodankylä Tähtelä","2020","11","01","16:50","0"
