Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2022","11","01","00:00","3"
"Sodankylä Tähtelä","2022","11","01","00:10","3"
"Sodankylä Tähtelä","2022","11","01","00:20","3"
"Sodankylä Tähtelä","2022","11","01","00:30","3"
"Sodankylä Tähtelä","2022","11","01","00:40","3"
"Sodankylä Tähtelä","2022","11","01","00:50","3"
"Sodankylä Tähtelä","2022","11","01","01:00","3"
"Sodankylä Tähtelä","2022","11","01","01:10","3"
"Sodankylä Tähtelä","2022","11","01","01:20","3"
"Sodankylä Tähtelä","2022","11","01","01:30","3"
"Sodankylä Tähtelä","2022","11","01","01:40","3"
"Sodankylä Tähtelä","2022","11","01","01:50","3"
"Sodankylä Tähtelä","2022","11","01","02:00","3"
"Sodankylä Tähtelä","2022","11","01","02:10","3"
"Sodankylä Tähtelä","2022","11","01","02:20","3"
"Sodankylä Tähtelä","2022","11","01","02:30","3"
"Sodankylä Tähtelä","2022","11","01","02:40","3"
"Sodankylä Tähtelä","2022","11","01","02:50","3"
"Sodankylä Tähtelä","2022","11","01","03:00","3"
"Sodankylä Tähtelä","2022","11","01","03:10","3"
"Sodankylä Tähtelä","2022","11","01","03:20","3"
"Sodankylä Tähtelä","2022","11","01","03:30","3"
"Sodankylä Tähtelä","2022","11","01","03:40","3"
"Sodankylä Tähtelä","2022","11","01","03:50","3"
"Sodankylä Tähtelä","2022","11","01","04:00","3"
"Sodankylä Tähtelä","2022","11","01","04:10","3"
"Sodankylä Tähtelä","2022","11","01","04:20","3"
"Sodankylä Tähtelä","2022","11","01","04:30","3"
"Sodankylä Tähtelä","2022","11","01","04:40","3"
"Sodankylä Tähtelä","2022","11","01","04:50","3"
"Sodankylä Tähtelä","2022","11","01","05:00","3"
"Sodankylä Tähtelä","2022","11","01","05:10","3"
"Sodankylä Tähtelä","2022","11","01","05:20","3"
"Sodankylä Tähtelä","2022","11","01","05:30","3"
"Sodankylä Tähtelä","2022","11","01","05:40","3"
"Sodankylä Tähtelä","2022","11","01","05:50","3"
"Sodankylä Tähtelä","2022","11","01","06:00","3"
"Sodankylä Tähtelä","2022","11","01","06:10","3"
"Sodankylä Tähtelä","2022","11","01","06:20","3"
"Sodankylä Tähtelä","2022","11","01","06:30","3"
