Observation station;Year;Month;Day;Time [Local time];Snow depth mean [cm];Air temperature mean [°C];Wind speed mean [m/s];Relative humidity mean [%]
Sodankylä Tähtelä;2023;01;01;00:00;49;-2.5;3.3;94
Sodankylä Tähtelä;2023;01;01;01:00;49;-2.1;3.4;94.4
Sodankylä Tähtelä;2023;01;01;02:00;49.3;-1.7;3.6;95
Sodankylä Tähtelä;2023;01;01;03:00;49.3;-1.5;3.1;95.5
Sodankylä Tähtelä;2023;01;01;04:00;50;-1.9;2;95.8
Sodankylä Tähtelä;2023;01;01;05:00;50.6;-1.9;2.3;96.6
Sodankylä Tähtelä;2023;01;01;06:00;51;-1.8;1.8;97
Sodankylä Tähtelä;2023;01;01;07:00;51;-1.7;1.2;97
Sodankylä Tähtelä;2023;01;01;08:00;51.6;-1.8;1.2;97.2
Sodankylä Tähtelä;2023;01;01;09:00;51.9;-1.8;1.6;97.2
Sodankylä Tähtelä;2023;01;01;10:00;52.3;-2;1.9;96.9
Sodankylä Tähtelä;2023;01;01;11:00;52.2;-2.4;2.7;95.5
Sodankylä Tähtelä;2023;01;01;12:00;52.2;-2.9;3.1;95
Sodankylä Tähtelä;2023;01;01;13:00;52.1;-3.2;3;95
Sodankylä Tähtelä;2023;01;01;14:00;53;-3.2;3.1;95
Sodankylä Tähtelä;2023;01;01;15:00;53.9;-3.2;3.2;94.3
Sodankylä Tähtelä;2023;01;01;16:00;54.7;-3.3;3.8;92.7
Sodankylä Tähtelä;2023;01;01;17:00;54.3;-3.6;3.3;93
Sodankylä Tähtelä;2023;01;01;18:00;55;-3.5;2.8;94.8
Sodankylä Tähtelä;2023;01;01;19:00;55;-3.2;2.9;93.8
Sodankylä Tähtelä;2023;01;01;20:00;55;-3.6;2.8;93.2
Sodankylä Tähtelä;2023;01;01;21:00;55;-3.5;3.1;93.2
Sodankylä Tähtelä;2023;01;01;22:00;55;-3;3.6;93.9
Sodankylä Tähtelä;2023;01;01;23:00;55;-2.6;4;92
Sodankylä Tähtelä;2023;01;02;00:00;55;-3.3;4.1;90.7
Sodankylä Tähtelä;2023;01;02;01:00;54.9;-3.1;4.2;90.4
Sodankylä Tähtelä;2023;01;02;02:00;54.1;-3.1;4.3;89.4
Sodankylä Tähtelä;2023;01;02;03:00;54;-3.3;4.3;89.4
Sodankylä Tähtelä;2023;01;02;04:00;54;-4.3;4.6;87.8
Sodankylä Tähtelä;2023;01;02;05:00;54;-4.3;3.5;86.9
Sodankylä Tähtelä;2023;01;02;06:00;54;-5.7;2.7;87.3
Sodankylä Tähtelä;2023;01;02;07:00;54;-6.7;3;89.1
Sodankylä Tähtelä;2023;01;02;08:00;54;-7.2;3.3;88.7
Sodankylä Tähtelä;2023;01;02;09:00;54;-7.6;3.2;88.9
Sodankylä Tähtelä;2023;01;02;10:00;54;-7.9;2;89.4
Sodankylä Tähtelä;2023;01;02;11:00;53.6;-8.5;2;89.3
Sodankylä Tähtelä;2023;01;02;12:00;53.7;-9.2;2.2;90.6
Sodankylä Tähtelä;2023;01;02;13:00;53.2;-11.3;1.7;87.4
Sodankylä Tähtelä;2023;01;02;14:00;53;-13.6;1.4;85.2
Sodankylä Tähtelä;2023;01;02;15:00;53;-15.3;1.4;84.1
Sodankylä Tähtelä;2023;01;02;16:00;53;-16.6;1.8;83.9
Sodankylä Tähtelä;2023;01;02;17:00;53;-17.6;1.4;82.6
Sodankylä Tähtelä;2023;01;02;18:00;53;-18.6;0.8;82.9
Sodankylä Tähtelä;2023;01;02;19:00;53;-19.4;1.4;82.1
Sodankylä Tähtelä;2023;01;02;20:00;53;-20.2;1.5;81.3
Sodankylä Tähtelä;2023;01;02;21:00;53;-21;1;81
Sodankylä Tähtelä;2023;01;02;22:00;53;-21.1;1.3;82.7
Sodankylä Tähtelä;2023;01;02;23:00;53;-20.3;1;84.8
Sodankylä Tähtelä;2023;01;03;00:00;53;-19.1;1.7;85.7
Sodankylä Tähtelä;2023;01;03;01:00;53;-17.8;1.6;88.7
Sodankylä Tähtelä;2023;01;03;02:00;53;-16.7;0.6;88
Sodankylä Tähtelä;2023;01;03;03:00;53;-16.1;0.8;87.4
Sodankylä Tähtelä;2023;01;03;04:00;53;-16;0.9;87.1
Sodankylä Tähtelä;2023;01;03;05:00;53;-15.9;0.2;87.4
Sodankylä Tähtelä;2023;01;03;06:00;52.6;-15.7;0.5;87.4
Sodankylä Tähtelä;2023;01;03;07:00;52;-15.7;0.6;87.6
