Observation station;Year;Month;Day;Time [Local time];Snow depth mean [cm];Air temperature mean [°C];Wind speed mean [m/s];Relative humidity mean [%]
Sodankylä Tähtelä;2022;11;01;00:00;3;-1.6;2.2;98
Sodankylä Tähtelä;2022;11;01;01:00;3;-1.8;1.9;98
Sodankylä Tähtelä;2022;11;01;02:00;3;-1.8;1.5;98
Sodankylä Tähtelä;2022;11;01;03:00;3;-1.8;1.5;97.2
Sodankylä Tähtelä;2022;11;01;04:00;3;-1.6;1.3;97
Sodankylä Tähtelä;2022;11;01;05:00;3;-1.5;1.2;97
Sodankylä Tähtelä;2022;11;01;06:00;3;-1.5;1.5;97
Sodankylä Tähtelä;2022;11;01;07:00;3;-1.4;1.2;97
Sodankylä Tähtelä;2022;11;01;08:00;3;-1.4;1.3;97.5
Sodankylä Tähtelä;2022;11;01;09:00;3;-1.2;1;98
Sodankylä Tähtelä;2022;11;01;10:00;3;-1;1;98.1
Sodankylä Tähtelä;2022;11;01;11:00;3;-0.9;0.9;98
Sodankylä Tähtelä;2022;11;01;12:00;3;-0.6;0.3;98
Sodankylä Tähtelä;2022;11;01;13:00;3;-0.2;0.5;97.7
Sodankylä Tähtelä;2022;11;01;14:00;3;0;0.9;97
Sodankylä Tähtelä;2022;11;01;15:00;3;0;0.8;97.2
Sodankylä Tähtelä;2022;11;01;16:00;3;-0.4;1.1;97.8
Sodankylä Tähtelä;2022;11;01;17:00;3;-0.9;0.7;98
Sodankylä Tähtelä;2022;11;01;18:00;3;-1.1;0.9;98.5
Sodankylä Tähtelä;2022;11;01;19:00;3;-1.8;1.4;98.3
Sodankylä Tähtelä;2022;11;01;20:00;3;-2.2;1.6;98
Sodankylä Tähtelä;2022;11;01;21:00;3;-2.8;1.9;98
Sodankylä Tähtelä;2022;11;01;22:00;3;-3.3;1.6;97.1
Sodankylä Tähtelä;2022;11;01;23:00;3;-3.9;1.7;95.9
Sodankylä Tähtelä;2022;11;02;00:00;3;-4.6;1.5;95
Sodankylä Tähtelä;2022;11;02;01:00;3;-5.1;1.4;95.6
Sodankylä Tähtelä;2022;11;02;02:00;3;-5.2;1.6;95
Sodankylä Tähtelä;2022;11;02;03:00;3;-5.2;1.4;95
Sodankylä Tähtelä;2022;11;02;04:00;3;-5.5;1.7;94.8
Sodankylä Tähtelä;2022;11;02;05:00;3;-5.4;1.8;95.8
Sodankylä Tähtelä;2022;11;02;06:00;3;-4.9;2;95.9
Sodankylä Tähtelä;2022;11;02;07:00;3;-4.5;2;96.3
Sodankylä Tähtelä;2022;11;02;08:00;3;-3.9;2.1;97
Sodankylä Tähtelä;2022;11;02;09:00;3;-3.7;1.9;97.1
Sodankylä Tähtelä;2022;11;02;10:00;3;-3.4;2.6;97
Sodankylä Tähtelä;2022;11;02;11:00;3;-3.1;2.5;97.7
Sodankylä Tähtelä;2022;11;02;12:00;3;-2.6;2.5;98
Sodankylä Tähtelä;2022;11;02;13:00;3;-2;2.5;98
Sodankylä Tähtelä;2022;11;02;14:00;3;-2.4;1.8;97
Sodankylä Tähtelä;2022;11;02;15:00;3;-2.7;1.2;96.3
Sodankylä Tähtelä;2022;11;02;16:00;3;-2.5;1.8;97
Sodankylä Tähtelä;2022;11;02;17:00;3;-2;1.6;97.5
Sodankylä Tähtelä;2022;11;02;18:00;3;-1.8;1.3;98
Sodankylä Tähtelä;2022;11;02;19:00;3;-2;2;98
Sodankylä Tähtelä;2022;11;02;20:00;3;-2.1;2.4;98
Sodankylä Tähtelä;2022;11;02;21:00;3;-2.5;2.7;97.5
Sodankylä Tähtelä;2022;11;02;22:00;3;-2.7;2.5;97
Sodankylä Tähtelä;2022;11;02;23:00;3;-2.9;2.4;97
Sodankylä Tähtelä;2022;11;03;00:00;3;-2.8;2.4;97
Sodankylä Tähtelä;2022;11;03;01:00;3;-2.6;2.4;97
Sodankylä Tähtelä;2022;11;03;02:00;3;-2.5;2.2;97
Sodankylä Tähtelä;2022;11;03;03:00;3;-2.3;2.1;97
Sodankylä Tähtelä;2022;11;03;04:00;3;-2;1.6;97
Sodankylä Tähtelä;2022;11;03;05:00;3;-1.7;1.8;97
Sodankylä Tähtelä;2022;11;03;06:00;3;-1.6;1.8;97.4
Sodankylä Tähtelä;2022;11;03;07:00;3;-1.5;2.4;98
Sodankylä Tähtelä;2022;11;03;08:00;3;-1.2;1.9;98
Sodankylä Tähtelä;2022;11;03;09:00;3;-1;1.8;98.6
Sodankylä Tähtelä;2022;11;03;10:00;3;-0.6;1.7;99
Sodankylä Tähtelä;2022;11;03;11:00;3;-0.2;1.8;99
Sodankylä Tähtelä;2022;11;03;12:00;3;0.1;1.8;99
Sodankylä Tähtelä;2022;11;03;13:00;3;0.2;2.1;99
Sodankylä Tähtelä;2022;11;03;14:00;3;0.2;3;99
Sodankylä Tähtelä;2022;11;03;15:00;3;0.1;2.7;99
Sodankylä Tähtelä;2022;11;03;16:00;3;0.1;2.5;99
Sodankylä Tähtelä;2022;11;03;17:00;3;0.1;2.4;99
Sodankylä Tähtelä;2022;11;03;18:00;3;0;2.2;99
Sodankylä Tähtelä;2022;11;03;19:00;3;0.1;2.5;99
Sodankylä Tähtelä;2022;11;03;20:00;3;0.1;2.5;99
Sodankylä Tähtelä;2022;11;03;21:00;3;0.2;2.4;99
Sodankylä Tähtelä;2022;11;03;22:00;3;0.2;2.1;99
Sodankylä Tähtelä;2022;11;03;23:00;3;0.3;1.9;99
Sodankylä Tähtelä;2022;11;04;00:00;3;0.5;2.4;99
Sodankylä Tähtelä;2022;11;04;01:00;3;0.7;2.3;99
Sodankylä Tähtelä;2022;11;04;02:00;3;0.8;2;99
Sodankylä Tähtelä;2022;11;04;03:00;3;1;2.1;99
