Observation station;Year;Month;Day;Time [Local time];Snow depth mean [cm];Air temperature mean [°C];Wind speed mean [m/s];Relative humidity mean [%]
Sodankylä Tähtelä;2023;03;01;00:00;74.5;-5;3.5;78.8
Sodankylä Tähtelä;2023;03;01;01:00;74.2;-6.1;3.3;81.5
Sodankylä Tähtelä;2023;03;01;02:00;74.4;-6.5;2.8;84.5
Sodankylä Tähtelä;2023;03;01;03:00;74.6;-6;2.6;83.1
Sodankylä Tähtelä;2023;03;01;04:00;74.1;-6.7;2.5;84
Sodankylä Tähtelä;2023;03;01;05:00;74.3;-6.5;2.2;84.1
Sodankylä Tähtelä;2023;03;01;06:00;74.5;-6.4;2;85.3
Sodankylä Tähtelä;2023;03;01;07:00;74.3;-5.3;2.6;85.5
Sodankylä Tähtelä;2023;03;01;08:00;74.1;-4.7;2.5;88.6
Sodankylä Tähtelä;2023;03;01;09:00;74;-3.9;2.4;89
Sodankylä Tähtelä;2023;03;01;10:00;74;-3.2;2.7;85.4
Sodankylä Tähtelä;2023;03;01;11:00;74;-1.9;3.2;78.2
Sodankylä Tähtelä;2023;03;01;12:00;74;-1.4;2.5;74
Sodankylä Tähtelä;2023;03;01;13:00;74;-1.1;2.7;71
Sodankylä Tähtelä;2023;03;01;14:00;74;-0.7;2.1;66.9
Sodankylä Tähtelä;2023;03;01;15:00;74;-0.7;1.5;64.7
Sodankylä Tähtelä;2023;03;01;16:00;74;-1;2.2;71.2
Sodankylä Tähtelä;2023;03;01;17:00;74;-1.2;2.3;76.1
Sodankylä Tähtelä;2023;03;01;18:00;74;-1.5;2.2;79.9
Sodankylä Tähtelä;2023;03;01;19:00;74;-1.8;2.8;87.5
Sodankylä Tähtelä;2023;03;01;20:00;74;-2;2.7;92.8
Sodankylä Tähtelä;2023;03;01;21:00;74;-1.5;3.2;93
Sodankylä Tähtelä;2023;03;01;22:00;74;-0.8;3.2;92.8
Sodankylä Tähtelä;2023;03;01;23:00;74;-0.1;4.4;89.5
Sodankylä Tähtelä;2023;03;02;00:00;74;0.6;5.2;82.9
Sodankylä Tähtelä;2023;03;02;01:00;74;0.5;3.9;77.4
Sodankylä Tähtelä;2023;03;02;02:00;74;-0.3;4.1;78.1
Sodankylä Tähtelä;2023;03;02;03:00;74;-1.3;4.2;80.8
Sodankylä Tähtelä;2023;03;02;04:00;73.8;-2.9;3.7;82.9
Sodankylä Tähtelä;2023;03;02;05:00;73;-4;2.9;85.7
Sodankylä Tähtelä;2023;03;02;06:00;73.1;-4.8;2.6;86.6
Sodankylä Tähtelä;2023;03;02;07:00;73;-5.3;2.4;88.6
Sodankylä Tähtelä;2023;03;02;08:00;73;-5.5;2;88.8
Sodankylä Tähtelä;2023;03;02;09:00;73.2;-5.2;1.8;87.1
Sodankylä Tähtelä;2023;03;02;10:00;73;-3.4;2.1;81.6
Sodankylä Tähtelä;2023;03;02;11:00;72.8;-1.2;2.7;72.1
Sodankylä Tähtelä;2023;03;02;12:00;72.9;-0.3;2.8;68.1
Sodankylä Tähtelä;2023;03;02;13:00;73;-0.1;2.1;68.1
Sodankylä Tähtelä;2023;03;02;14:00;72.3;0.4;2.3;67.3
Sodankylä Tähtelä;2023;03;02;15:00;72.1;-0.6;2;71.5
Sodankylä Tähtelä;2023;03;02;16:00;72.6;-0.4;1.9;72.7
Sodankylä Tähtelä;2023;03;02;17:00;72.3;-1.3;1.6;74.9
Sodankylä Tähtelä;2023;03;02;18:00;73;-2.3;1.4;79.3
Sodankylä Tähtelä;2023;03;02;19:00;73;-2.8;1.8;83.3
Sodankylä Tähtelä;2023;03;02;20:00;73;-2.7;1.9;86.9
Sodankylä Tähtelä;2023;03;02;21:00;73;-1.5;2.1;84.7
Sodankylä Tähtelä;2023;03;02;22:00;73;-2.7;1.8;86
Sodankylä Tähtelä;2023;03;02;23:00;73;-3.6;2;87.1
Sodankylä Tähtelä;2023;03;03;00:00;73;-3.9;2.1;85.9
Sodankylä Tähtelä;2023;03;03;01:00;73;-5.4;2.4;88.3
Sodankylä Tähtelä;2023;03;03;02:00;73;-6.6;2.2;91.7
Sodankylä Tähtelä;2023;03;03;03:00;73;-7.5;2.2;93.8
Sodankylä Tähtelä;2023;03;03;04:00;73;-7.2;2;94.9
Sodankylä Tähtelä;2023;03;03;05:00;73;-8.7;1.5;88.1
Sodankylä Tähtelä;2023;03;03;06:00;73;-12.2;0.8;85.7
Sodankylä Tähtelä;2023;03;03;07:00;73;-13.7;0.8;85.3
Sodankylä Tähtelä;2023;03;03;08:00;73;-13.2;0.8;89.2
Sodankylä Tähtelä;2023;03;03;09:00;73;-13.3;1;86.6
Sodankylä Tähtelä;2023;03;03;10:00;73;-11.3;1;86.1
Sodankylä Tähtelä;2023;03;03;11:00;73;-9;0.7;87.4
Sodankylä Tähtelä;2023;03;03;12:00;73;-6.9;0.7;85.4
Sodankylä Tähtelä;2023;03;03;13:00;73;-4.7;0.9;84.1
Sodankylä Tähtelä;2023;03;03;14:00;73;-3.6;0.6;82
Sodankylä Tähtelä;2023;03;03;15:00;73;-2.8;0.6;81.5
Sodankylä Tähtelä;2023;03;03;16:00;73;-2.3;0.6;84.3
Sodankylä Tähtelä;2023;03;03;17:00;73;-2.6;0.9;85.3
Sodankylä Tähtelä;2023;03;03;18:00;73;-3.4;0.7;84.2
Sodankylä Tähtelä;2023;03;03;19:00;73;-4.5;1.5;87.5
Sodankylä Tähtelä;2023;03;03;20:00;73;-5.6;1.1;88.2
Sodankylä Tähtelä;2023;03;03;21:00;73;-5.8;2.3;89.9
Sodankylä Tähtelä;2023;03;03;22:00;73;-4.7;2;85.2
Sodankylä Tähtelä;2023;03;03;23:00;72.8;-4.5;1.8;92.1
Sodankylä Tähtelä;2023;03;04;00:00;72.7;-3.9;2.2;94.1
Sodankylä Tähtelä;2023;03;04;01:00;73;-3.5;2.6;92.9
Sodankylä Tähtelä;2023;03;04;02:00;73.6;-3.6;2.6;92.6
Sodankylä Tähtelä;2023;03;04;03:00;74.3;-3.8;2.5;92.5
Sodankylä Tähtelä;2023;03;04;04:00;74.3;-4.5;2.6;91.8
Sodankylä Tähtelä;2023;03;04;05:00;75;-4.6;2.8;88.8
Sodankylä Tähtelä;2023;03;04;06:00;74.9;-5.1;2.7;87.7
Sodankylä Tähtelä;2023;03;04;07:00;75;-5.5;3;87.8
Sodankylä Tähtelä;2023;03;04;08:00;75;-5.6;3.1;89.8
Sodankylä Tähtelä;2023;03;04;09:00;75.6;-5.8;2.2;91.1
Sodankylä Tähtelä;2023;03;04;10:00;76.3;-5.5;2.3;91.2
Sodankylä Tähtelä;2023;03;04;11:00;77.8;-5;2.3;90.6
Sodankylä Tähtelä;2023;03;04;12:00;78;-4.3;2.5;88.8
Sodankylä Tähtelä;2023;03;04;13:00;78;-4;2.4;88
Sodankylä Tähtelä;2023;03;04;14:00;77.9;-3.7;2.2;88.1
Sodankylä Tähtelä;2023;03;04;15:00;78;-3.4;2.5;86.3
Sodankylä Tähtelä;2023;03;04;16:00;78;-3.4;2.7;86.5
Sodankylä Tähtelä;2023;03;04;17:00;78;-3.8;2.6;88.6
Sodankylä Tähtelä;2023;03;04;18:00;78;-4.1;2.4;90.6
Sodankylä Tähtelä;2023;03;04;19:00;78;-4.5;2.5;90.3
Sodankylä Tähtelä;2023;03;04;20:00;79;-5;2.2;90.7
Sodankylä Tähtelä;2023;03;04;21:00;78.1;-5.8;1.7;90.2
Sodankylä Tähtelä;2023;03;04;22:00;78.1;-6.4;1.9;91.8
Sodankylä Tähtelä;2023;03;04;23:00;78.3;-5.9;2.1;92.2
Sodankylä Tähtelä;2023;03;05;00:00;77.9;-5.2;2.1;92.8
Sodankylä Tähtelä;2023;03;05;01:00;77.4;-4.6;2.3;92.4
Sodankylä Tähtelä;2023;03;05;02:00;76.5;-4.8;3.3;86.8
Sodankylä Tähtelä;2023;03;05;03:00;76.8;-6.4;2.3;88.8
Sodankylä Tähtelä;2023;03;05;04:00;77;-9.1;1.7;87.7
Sodankylä Tähtelä;2023;03;05;05:00;77.1;-10.2;1.7;92.2
Sodankylä Tähtelä;2023;03;05;06:00;77;-6.4;3.1;95.2
Sodankylä Tähtelä;2023;03;05;07:00;78.7;-5.5;3.3;92.1
Sodankylä Tähtelä;2023;03;05;08:00;79;-5.3;3.1;91.4
Sodankylä Tähtelä;2023;03;05;09:00;79;-5;3.2;88.3
Sodankylä Tähtelä;2023;03;05;10:00;79;-4.5;3.7;86.2
Sodankylä Tähtelä;2023;03;05;11:00;79;-4.6;3.7;84
Sodankylä Tähtelä;2023;03;05;12:00;79;-4.6;4.2;81.8
Sodankylä Tähtelä;2023;03;05;13:00;79;-4.6;4.5;79.8
Sodankylä Tähtelä;2023;03;05;14:00;79;-4.4;4.7;77.2
Sodankylä Tähtelä;2023;03;05;15:00;79;-4.6;4;79.5
Sodankylä Tähtelä;2023;03;05;16:00;79;-5.2;3.8;81.9
Sodankylä Tähtelä;2023;03;05;17:00;79;-5.7;3.2;81.9
Sodankylä Tähtelä;2023;03;05;18:00;79;-6.4;3;82.6
Sodankylä Tähtelä;2023;03;05;19:00;79;-7.3;2.6;83.6
Sodankylä Tähtelä;2023;03;05;20:00;79;-7.8;2.2;84
Sodankylä Tähtelä;2023;03;05;21:00;78.1;-8.8;2.1;85.2
Sodankylä Tähtelä;2023;03;05;22:00;78.8;-9.3;2.1;84.4
Sodankylä Tähtelä;2023;03;05;23:00;79;-10.2;1.7;84.1
Sodankylä Tähtelä;2023;03;06;00:00;79;-10.5;1.6;85.6
Sodankylä Tähtelä;2023;03;06;01:00;78.7;-10.1;1.1;85.8
Sodankylä Tähtelä;2023;03;06;02:00;78.5;-10.2;0.9;87.7
Sodankylä Tähtelä;2023;03;06;03:00;78.7;-10.5;0.9;88.2
Sodankylä Tähtelä;2023;03;06;04:00;78.1;-10.8;0.4;88.1
Sodankylä Tähtelä;2023;03;06;05:00;78;-11;0.8;88.4
Sodankylä Tähtelä;2023;03;06;06:00;78;-11.1;0.2;88.6
Sodankylä Tähtelä;2023;03;06;07:00;78;-11.2;0.5;88.7
Sodankylä Tähtelä;2023;03;06;08:00;78;-11.3;0.8;89.1
Sodankylä Tähtelä;2023;03;06;09:00;78;-11;1;88.8
Sodankylä Tähtelä;2023;03;06;10:00;77.8;-10.4;1.3;86.9
Sodankylä Tähtelä;2023;03;06;11:00;79;-10;1.7;84
