Observation station;Year;Month;Day;Time [Local time];Snow depth [cm];Precipitation amount [mm];Average temperature [°C]
Sodankylä Tähtelä;2000;11;01;02:00;10;2.6;-2.1
Sodankylä Tähtelä;2000;11;02;02:00;11;4.8;-1.3
Sodankylä Tähtelä;2000;11;03;02:00;17;1.8;-3.4
Sodankylä Tähtelä;2000;11;04;02:00;17;4.9;-0.7
Sodankylä Tähtelä;2000;11;05;02:00;11;4.9;3
Sodankylä Tähtelä;2000;11;06;02:00;5;8.3;2.1
Sodankylä Tähtelä;2000;11;07;02:00;4;0.2;0.3
Sodankylä Tähtelä;2000;11;08;02:00;4;1.1;1.2
Sodankylä Tähtelä;2000;11;09;02:00;3;1.6;1.5
Sodankylä Tähtelä;2000;11;10;02:00;3;0.3;3.7
Sodankylä Tähtelä;2000;11;11;02:00;1;0.4;1.5
Sodankylä Tähtelä;2000;11;12;02:00;0;3.6;1.4
Sodankylä Tähtelä;2000;11;13;02:00;0;0.1;2.1
Sodankylä Tähtelä;2000;11;14;02:00;0;3;1.7
Sodankylä Tähtelä;2000;11;15;02:00;-1;0.1;1.1
Sodankylä Tähtelä;2000;11;16;02:00;0;0.2;-2.2
Sodankylä Tähtelä;2000;11;17;02:00;0;0.3;-4.3
Sodankylä Tähtelä;2000;11;18;02:00;2;0.3;-4.4
Sodankylä Tähtelä;2000;11;19;02:00;2;0.1;-9.2
Sodankylä Tähtelä;2000;11;20;02:00;2;0.1;-12
Sodankylä Tähtelä;2000;11;21;02:00;2;0;-17.7
Sodankylä Tähtelä;2000;11;22;02:00;2;0.1;-18
Sodankylä Tähtelä;2000;11;23;02:00;2;0.5;-8.9
Sodankylä Tähtelä;2000;11;24;02:00;2;0.1;-1.4
Sodankylä Tähtelä;2000;11;25;02:00;2;0.4;0.6
Sodankylä Tähtelä;2000;11;26;02:00;1;0.1;0.3
Sodankylä Tähtelä;2000;11;27;02:00;1;0.1;0.4
Sodankylä Tähtelä;2000;11;28;02:00;1;0.6;0.3
Sodankylä Tähtelä;2000;11;29;02:00;1;1.3;-1.8
Sodankylä Tähtelä;2000;11;30;02:00;3;0.3;-3.3
Sodankylä Tähtelä;2000;12;01;02:00;3;1.1;-2.8
Sodankylä Tähtelä;2000;12;02;02:00;5;5.8;-2.8
Sodankylä Tähtelä;2000;12;03;02:00;10;1.4;-3.5
Sodankylä Tähtelä;2000;12;04;02:00;11;0;-6.2
Sodankylä Tähtelä;2000;12;05;02:00;11;2.5;-4.6
Sodankylä Tähtelä;2000;12;06;02:00;11;1;2.4
Sodankylä Tähtelä;2000;12;07;02:00;4;2.8;1.1
Sodankylä Tähtelä;2000;12;08;02:00;4;0.4;-3.5
Sodankylä Tähtelä;2000;12;09;02:00;4;0;-16.1
Sodankylä Tähtelä;2000;12;10;02:00;4;0.8;-14.2
Sodankylä Tähtelä;2000;12;11;02:00;5;3.7;-10
Sodankylä Tähtelä;2000;12;12;02:00;7;1.6;-4.7
Sodankylä Tähtelä;2000;12;13;02:00;8;0.3;-7.4
Sodankylä Tähtelä;2000;12;14;02:00;8;3.2;-2.2
Sodankylä Tähtelä;2000;12;15;02:00;12;0.3;-0.9
Sodankylä Tähtelä;2000;12;16;02:00;12;0.2;-0.5
Sodankylä Tähtelä;2000;12;17;02:00;12;0.3;-3.1
Sodankylä Tähtelä;2000;12;18;02:00;12;0;-21.2
Sodankylä Tähtelä;2000;12;19;02:00;12;-1;-21
Sodankylä Tähtelä;2000;12;20;02:00;11;-1;-17.1
Sodankylä Tähtelä;2000;12;21;02:00;11;0.2;-15.1
Sodankylä Tähtelä;2000;12;22;02:00;11;0.5;-5.8
Sodankylä Tähtelä;2000;12;23;02:00;11;0.1;-10.3
Sodankylä Tähtelä;2000;12;24;02:00;12;0.1;-15.8
Sodankylä Tähtelä;2000;12;25;02:00;12;0.1;-22.5
Sodankylä Tähtelä;2000;12;26;02:00;12;0.1;-26.9
Sodankylä Tähtelä;2000;12;27;02:00;12;0.1;-25
Sodankylä Tähtelä;2000;12;28;02:00;12;3.7;-17.9
Sodankylä Tähtelä;2000;12;29;02:00;21;4.5;-17.2
Sodankylä Tähtelä;2000;12;30;02:00;26;6.9;-9.5
Sodankylä Tähtelä;2000;12;31;02:00;36;0.6;-16.5
Sodankylä Tähtelä;2001;01;01;02:00;34;0.2;-12.1
Sodankylä Tähtelä;2001;01;02;02:00;34;4.5;-4.5
Sodankylä Tähtelä;2001;01;03;02:00;31;0.1;-6
Sodankylä Tähtelä;2001;01;04;02:00;30;0.8;-5.1
Sodankylä Tähtelä;2001;01;05;02:00;30;0.1;-5.9
Sodankylä Tähtelä;2001;01;06;02:00;29;0.1;-4.7
Sodankylä Tähtelä;2001;01;07;02:00;28;1.7;-4.7
Sodankylä Tähtelä;2001;01;08;02:00;30;2;-7.4
Sodankylä Tähtelä;2001;01;09;02:00;31;0.2;-12.8
Sodankylä Tähtelä;2001;01;10;02:00;30;3.3;-10.9
Sodankylä Tähtelä;2001;01;11;02:00;34;0.6;-8.3
Sodankylä Tähtelä;2001;01;12;02:00;34;0.1;-14.8
Sodankylä Tähtelä;2001;01;13;02:00;33;0;-8.1
Sodankylä Tähtelä;2001;01;14;02:00;32;-1;1.4
Sodankylä Tähtelä;2001;01;15;02:00;30;-1;3.6
Sodankylä Tähtelä;2001;01;16;02:00;29;-1;1.1
Sodankylä Tähtelä;2001;01;17;02:00;29;-1;-1.4
Sodankylä Tähtelä;2001;01;18;02:00;29;0.1;-6.1
Sodankylä Tähtelä;2001;01;19;02:00;29;0;-4.4
Sodankylä Tähtelä;2001;01;20;02:00;29;-1;-8.4
Sodankylä Tähtelä;2001;01;21;02:00;28;0;-11.6
Sodankylä Tähtelä;2001;01;22;02:00;28;0.1;-6.8
Sodankylä Tähtelä;2001;01;23;02:00;28;0.1;-5.9
Sodankylä Tähtelä;2001;01;24;02:00;28;0.1;-14.1
Sodankylä Tähtelä;2001;01;25;02:00;29;4.9;-9.2
Sodankylä Tähtelä;2001;01;26;02:00;32;0.1;-1.8
Sodankylä Tähtelä;2001;01;27;02:00;32;0.2;-0.2
Sodankylä Tähtelä;2001;01;28;02:00;31;4.1;-2.7
Sodankylä Tähtelä;2001;01;29;02:00;35;0.5;-7.4
Sodankylä Tähtelä;2001;01;30;02:00;36;0.6;-15.4
Sodankylä Tähtelä;2001;01;31;02:00;37;0.1;-16.1
Sodankylä Tähtelä;2001;02;01;02:00;37;0.1;-27.4
Sodankylä Tähtelä;2001;02;02;02:00;36;0;-22.4
Sodankylä Tähtelä;2001;02;03;02:00;36;0.1;-26.3
Sodankylä Tähtelä;2001;02;04;02:00;36;0.9;-22
Sodankylä Tähtelä;2001;02;05;02:00;36;1.5;-16.6
Sodankylä Tähtelä;2001;02;06;02:00;39;3.4;-17.4
Sodankylä Tähtelä;2001;02;07;02:00;41;3.8;-18.5
Sodankylä Tähtelä;2001;02;08;02:00;45;4.6;-9.6
Sodankylä Tähtelä;2001;02;09;02:00;50;-1;-21.6
Sodankylä Tähtelä;2001;02;10;02:00;49;-1;-17.4
Sodankylä Tähtelä;2001;02;11;02:00;49;0.1;-8.1
Sodankylä Tähtelä;2001;02;12;02:00;47;1;-6.6
Sodankylä Tähtelä;2001;02;13;02:00;49;3.9;-6.7
Sodankylä Tähtelä;2001;02;14;02:00;51;0.4;-1
Sodankylä Tähtelä;2001;02;15;02:00;49;-1;-3
Sodankylä Tähtelä;2001;02;16;02:00;49;0;-5.1
Sodankylä Tähtelä;2001;02;17;02:00;48;8.8;-1.7
Sodankylä Tähtelä;2001;02;18;02:00;57;1;-2.1
Sodankylä Tähtelä;2001;02;19;02:00;55;4.5;-2.7
Sodankylä Tähtelä;2001;02;20;02:00;59;4.4;-10.5
Sodankylä Tähtelä;2001;02;21;02:00;68;0;-18.6
Sodankylä Tähtelä;2001;02;22;02:00;67;-1;-31.2
Sodankylä Tähtelä;2001;02;23;02:00;66;-1;-30.1
Sodankylä Tähtelä;2001;02;24;02:00;64;0;-26.9
Sodankylä Tähtelä;2001;02;25;02:00;63;3;-20.1
Sodankylä Tähtelä;2001;02;26;02:00;64;0.6;-14.5
Sodankylä Tähtelä;2001;02;27;02:00;64;0.4;-20.5
Sodankylä Tähtelä;2001;02;28;02:00;63;0;-26.3
Sodankylä Tähtelä;2001;03;01;02:00;62;0;-28.6
Sodankylä Tähtelä;2001;03;02;02:00;61;1.3;-27.5
Sodankylä Tähtelä;2001;03;03;02:00;61;7.4;-13
Sodankylä Tähtelä;2001;03;04;02:00;66;1;-15.4
Sodankylä Tähtelä;2001;03;05;02:00;66;0.6;-18.2
Sodankylä Tähtelä;2001;03;06;02:00;66;0.7;-14.9
Sodankylä Tähtelä;2001;03;07;02:00;66;0;-9.5
Sodankylä Tähtelä;2001;03;08;02:00;65;0.4;-15.9
Sodankylä Tähtelä;2001;03;09;02:00;64;0.1;-8.1
Sodankylä Tähtelä;2001;03;10;02:00;63;0.1;-5
Sodankylä Tähtelä;2001;03;11;02:00;63;1.4;-8.6
Sodankylä Tähtelä;2001;03;12;02:00;63;0.1;-4.8
Sodankylä Tähtelä;2001;03;13;02:00;62;0;-9.7
Sodankylä Tähtelä;2001;03;14;02:00;61;0.9;-11.8
Sodankylä Tähtelä;2001;03;15;02:00;62;-1;-11.1
Sodankylä Tähtelä;2001;03;16;02:00;62;0;-15.6
Sodankylä Tähtelä;2001;03;17;02:00;62;0;-18.7
Sodankylä Tähtelä;2001;03;18;02:00;62;-1;-17.3
Sodankylä Tähtelä;2001;03;19;02:00;61;0;-13.5
Sodankylä Tähtelä;2001;03;20;02:00;61;0.1;-13.5
Sodankylä Tähtelä;2001;03;21;02:00;61;0.6;-11.7
Sodankylä Tähtelä;2001;03;22;02:00;61;0;-13.5
Sodankylä Tähtelä;2001;03;23;02:00;61;0;-8.3
Sodankylä Tähtelä;2001;03;24;02:00;61;-1;-9
Sodankylä Tähtelä;2001;03;25;02:00;60;0.2;-10.1
Sodankylä Tähtelä;2001;03;26;03:00;61;0.1;-12.2
Sodankylä Tähtelä;2001;03;27;03:00;61;0;-17.3
Sodankylä Tähtelä;2001;03;28;03:00;61;-1;-17.1
Sodankylä Tähtelä;2001;03;29;03:00;61;0;-6.6
Sodankylä Tähtelä;2001;03;30;03:00;60;1.6;-3.1
Sodankylä Tähtelä;2001;03;31;03:00;61;-1;-3.4
Sodankylä Tähtelä;2001;04;01;03:00;60;2.8;-8
Sodankylä Tähtelä;2001;04;02;03:00;64;0.3;-0.5
