timestamp;TA;RH;VW;ISWR;RSWR;ILWR;HS;OLWR
2022-11-01T00:00:00Z;271.54999999999995;0.98;2.2;0;0;305.4;0.03;309.5
2022-11-01T01:00:00Z;271.34999999999997;0.98;1.9;0;0;304.8;0.03;309
2022-11-01T02:00:00Z;271.34999999999997;0.98;1.5;0;0;304.4;0.03;308.8
2022-11-01T03:00:00Z;271.34999999999997;0.972;1.5;0;0;307.8;0.03;309.2
2022-11-01T04:00:00Z;271.54999999999995;0.97;1.3;0;0;311.2;0.03;313.1
2022-11-01T05:00:00Z;271.65;0.97;1.2;0;0;311.5;0.03;311.5
2022-11-01T06:00:00Z;271.65;0.97;1.5;0;0;310.6;0.03;310.1
2022-11-01T07:00:00Z;271.75;0.97;1.2;0;0;309.4;0.03;310
2022-11-01T08:00:00Z;271.75;0.975;1.3;0;0;308.2;0.03;310.3
2022-11-01T09:00:00Z;271.95;0.98;1;3.8;1.8;308.5;0.03;311.4
2022-11-01T10:00:00Z;272.15;0.981;1;22.1;9.8;297.8;0.03;311.4
2022-11-01T11:00:00Z;272.25;0.98;0.9;54;23.2;288.3;0.03;310.2
2022-11-01T12:00:00Z;272.54999999999995;0.98;0.3;54.5;23.9;304;0.03;314.6
2022-11-01T13:00:00Z;272.95;0.977;0.5;58.9;25.1;301;0.03;315.4
2022-11-01T14:00:00Z;273.15;0.97;0.9;40.2;17.2;299.2;0.03;315.1
2022-11-01T15:00:00Z;273.15;0.972;0.8;24.7;10.4;290.8;0.03;313.2
2022-11-01T16:00:00Z;272.75;0.978;1.1;4.2;1.8;307.6;0.03;314
2022-11-01T17:00:00Z;272.25;0.98;0.7;0;0;305.3;0.03;312.3
2022-11-01T18:00:00Z;272.04999999999995;0.985;0.9;0;0;302.9;0.03;311.7
2022-11-01T19:00:00Z;271.34999999999997;0.983;1.4;0;0;288.2;0.03;307.3
2022-11-01T20:00:00Z;270.95;0.98;1.6;0;0;292;0.03;306.1
2022-11-01T21:00:00Z;270.34999999999997;0.98;1.9;0;0;284.3;0.03;303.1
2022-11-01T22:00:00Z;269.84999999999997;0.971;1.6;0;0;265;0.03;298.2
2022-11-01T23:00:00Z;269.25;0.9590000000000001;1.7;0;0.1;245.8;0.03;292
2022-11-02T00:00:00Z;268.54999999999995;0.95;1.5;0;0;249.8;0.03;289.1
2022-11-02T01:00:00Z;268.04999999999995;0.956;1.4;0;0;247.2;0.03;286.4
2022-11-02T02:00:00Z;267.95;0.95;1.6;0;0;257.2;0.03;287.5
2022-11-02T03:00:00Z;267.95;0.95;1.4;0;0;253;0.03;288.2
2022-11-02T04:00:00Z;267.65;0.948;1.7;0;0;239.6;0.03;283
2022-11-02T05:00:00Z;267.75;0.958;1.8;0;0;258.4;0.03;287.3
2022-11-02T06:00:00Z;268.25;0.9590000000000001;2;0;0;266.5;0.03;291.6
2022-11-02T07:00:00Z;268.65;0.963;2;0;0;285.5;0.03;296.6
2022-11-02T08:00:00Z;269.25;0.97;2.1;0;0.1;286.8;0.03;299
2022-11-02T09:00:00Z;269.45;0.971;1.9;4.9;2.3;290.9;0.03;300.5
